date,high,low,open,close,adjust,volume,symbol
19-07-13,12.9,12.6,12.8,12.6,10.8,419450,VIS
22-07-13,12.7,12.4,12.7,12.5,10.71,773870,VIS
23-07-13,12.4,12,12.3,12.1,10.37,1130010,VIS
24-07-13,12.1,11.3,12,11.3,9.68,1149240,VIS
25-07-13,11.4,10.7,11.4,10.8,9.25,957360,VIS
26-07-13,10.9,10.3,10.7,10.4,8.91,569520,VIS
29-07-13,11,10.5,10.5,10.5,9,625530,VIS
30-07-13,10.9,10.5,10.7,10.8,9.25,309840,VIS
31-07-13,10.8,10.6,10.8,10.6,9.08,381040,VIS
01-08-13,10.8,10.5,10.6,10.6,9.08,162820,VIS
02-08-13,10.9,10.6,10.7,10.7,9.17,362070,VIS
05-08-13,10.8,10.5,10.6,10.5,9,148360,VIS
06-08-13,10.7,10.4,10.6,10.6,9.08,162810,VIS
07-08-13,10.8,10.5,10.5,10.6,9.08,238770,VIS
08-08-13,10.7,10.4,10.7,10.4,8.91,307020,VIS
09-08-13,10.6,10.3,10.4,10.4,8.91,372510,VIS
12-08-13,10.6,10.3,10.4,10.4,8.91,234360,VIS
13-08-13,10.5,10.1,10.4,10.1,8.66,512990,VIS
14-08-13,10.3,9.9,10.1,10.3,8.83,354400,VIS
15-08-13,11,10.3,10.3,11,9.43,1444780,VIS
16-08-13,11.6,11.2,11.3,11.2,9.6,1177060,VIS
19-08-13,11.6,11.3,11.4,11.3,9.68,430910,VIS
20-08-13,11.5,11.2,11.2,11.4,9.77,853340,VIS
21-08-13,11.5,11,11.5,11.2,9.6,660910,VIS
22-08-13,11.3,10.6,11.2,10.6,9.08,727930,VIS
23-08-13,10.9,10.5,10.8,10.7,9.17,494070,VIS
26-08-13,11,10.5,10.6,10.9,9.34,294840,VIS
27-08-13,10.9,10.7,10.9,10.8,9.25,147470,VIS
28-08-13,10.6,10.3,10.6,10.3,8.83,574940,VIS
29-08-13,10.6,10.2,10.3,10.2,8.74,216680,VIS
30-08-13,10.5,10.1,10.2,10.5,9,174060,VIS
03-09-13,10.6,10.3,10.5,10.3,8.83,156060,VIS
04-09-13,10.4,10.1,10.2,10.1,8.66,256490,VIS
05-09-13,10.4,10.1,10.3,10.4,8.91,254980,VIS
06-09-13,10.4,10.3,10.4,10.3,8.83,225740,VIS
09-09-13,10.4,10.1,10.3,10.2,8.74,361170,VIS
10-09-13,10.5,10.1,10.1,10.3,8.83,162910,VIS
11-09-13,10.5,10.3,10.4,10.4,8.91,395700,VIS
12-09-13,10.5,10.4,10.4,10.5,9,287970,VIS
13-09-13,11,10.5,10.5,10.7,9.17,587530,VIS
16-09-13,10.8,10.5,10.7,10.6,9.08,330400,VIS
17-09-13,10.7,10.5,10.5,10.5,9,285340,VIS
18-09-13,10.6,10.2,10.6,10.3,8.83,368900,VIS
19-09-13,10.5,10.3,10.4,10.4,8.91,212750,VIS
20-09-13,10.5,10.2,10.5,10.3,8.83,213440,VIS
