date,high,low,open,close,adjust,volume,symbol
14-08-12,14,13.8,13.8,14,12.67,13000,DTL
15-08-12,14.2,13.8,14.2,13.8,12.49,11250,DTL
16-08-12,13.8,13.6,13.8,13.6,12.31,1180,DTL
17-08-12,14,13,13,14,12.67,120,DTL
20-08-12,14,13.5,14,13.5,12.22,9910,DTL
21-08-12,12.9,12.9,12.9,12.9,11.68,5000,DTL
22-08-12,13,12.9,12.9,13,11.77,5020,DTL
23-08-12,13,13,13,13,11.77,0,DTL
24-08-12,13.6,12.4,12.4,13.6,12.31,2820,DTL
27-08-12,14,13.4,13.6,14,12.67,5550,DTL
28-08-12,13.5,13.5,13.5,13.5,12.22,7000,DTL
29-08-12,13.5,13.5,13.5,13.5,12.22,20000,DTL
30-08-12,13.5,13.2,13.5,13.2,11.95,21000,DTL
31-08-12,13.2,12.8,12.8,13,11.77,45260,DTL
04-09-12,13.5,12.8,13,13.5,12.22,112310,DTL
05-09-12,13.4,13.1,13.4,13.1,11.86,75000,DTL
06-09-12,13.1,12.5,13.1,13.1,11.86,211020,DTL
07-09-12,13.1,12.7,13.1,12.7,11.5,170130,DTL
10-09-12,12.7,12.4,12.7,12.4,11.23,75000,DTL
11-09-12,12.8,12,12.4,12.8,11.59,140010,DTL
12-09-12,12.8,12.5,12.5,12.5,11.32,215000,DTL
13-09-12,13.1,12.5,12.5,13.1,11.86,28550,DTL
14-09-12,13.5,12.6,12.8,13.5,12.22,69300,DTL
17-09-12,12.9,12.9,12.9,12.9,11.68,60000,DTL
18-09-12,12.6,12.3,12.3,12.6,11.41,94280,DTL
19-09-12,13.2,12.6,12.6,13.2,11.95,28000,DTL
20-09-12,13.7,12.6,12.8,13.7,12.4,59010,DTL
21-09-12,13.9,13.1,13.3,13.9,12.58,59100,DTL
24-09-12,13.3,13.3,13.3,13.3,12.04,40000,DTL
25-09-12,12.8,12.7,12.8,12.7,11.5,55010,DTL
26-09-12,13,12.5,12.7,13,11.77,43600,DTL
27-09-12,13.5,12.4,12.5,13.5,12.22,35460,DTL
28-09-12,13.5,12.9,13.2,12.9,11.68,12500,DTL
01-10-12,12.9,12.7,12.7,12.9,11.68,6240,DTL
02-10-12,13.5,13.5,13.5,13.5,12.22,10,DTL
03-10-12,13.5,13,13.5,13,11.77,1100,DTL
04-10-12,13,13,13,13,11.77,1000,DTL
05-10-12,12.9,12.9,12.9,12.9,11.68,2000,DTL
08-10-12,13.5,13.5,13.5,13.5,12.22,10,DTL
09-10-12,13.5,13.5,13.5,13.5,12.22,0,DTL
10-10-12,14,13,13,14,12.67,80010,DTL
11-10-12,14,13.3,13.3,14,12.67,20,DTL
12-10-12,14.5,13.3,13.3,14.5,13.13,110,DTL
15-10-12,14.5,14.5,14.5,14.5,13.13,0,DTL
16-10-12,14.5,14.5,14.5,14.5,13.13,10,DTL
17-10-12,14.4,13.8,13.8,14.4,13.04,20,DTL
18-10-12,15,13.7,13.7,15,13.58,20,DTL
19-10-12,15,15,15,15,13.58,0,DTL
22-10-12,15.2,14.3,14.3,15.2,13.76,1470,DTL
23-10-12,14.5,14.5,14.5,14.5,13.13,1550,DTL
24-10-12,15,14.4,14.4,15,13.58,1010,DTL
25-10-12,14.4,14.4,14.4,14.4,13.04,4000,DTL
26-10-12,14.4,14.4,14.4,14.4,13.04,0,DTL
29-10-12,13.9,13.9,13.9,13.9,12.58,125000,DTL
30-10-12,13.9,13.9,13.9,13.9,12.58,0,DTL
31-10-12,13.3,13.3,13.3,13.3,12.04,10,DTL
01-11-12,13.3,13.3,13.3,13.3,12.04,100,DTL
02-11-12,13.3,13.3,13.3,13.3,12.04,0,DTL
05-11-12,12.9,12.9,12.9,12.9,11.68,600,DTL
06-11-12,12.9,12.3,12.3,12.9,11.68,410,DTL
07-11-12,12.4,12.3,12.4,12.3,11.14,6050,DTL
08-11-12,11.8,11.7,11.8,11.7,10.59,9990,DTL
09-11-12,11.8,11.4,11.8,11.4,10.32,5010,DTL
12-11-12,11.9,10.9,11.9,11.9,10.77,1970,DTL
13-11-12,12.4,11.4,12.4,12.4,11.23,2120,DTL
14-11-12,13,11.8,13,11.8,10.68,10050,DTL
